company,return,Precision_UP,Precision_DOWN,PrecisionIgnoreEqual_UP,PrecisionIgnoreEqual_DOWN,Accuracy,AccuracyIngoreEqual,ImprovedPrecision_UP,ImprovedPrecision_DOWN,ImprovedPrecisionIgnoreEqual_UP,ImprovedPrecisionIgnoreEqual_DOWN,ImprovedAccuracy,ImprovedAccuracyIngoreEqual
ELNK,0.72385,0.13359,0.11787,0.51846,0.55299,0.30979,0.52543,0.53827,0.59795,0.53827,0.59795,0.47100,0.55122
EYES,0.62905,0.12541,0.16947,0.43139,0.55244,0.28551,0.50432,0.43818,0.55364,0.43818,0.55364,0.42794,0.50815
FCS,0.07617,0.02874,0.02998,0.52040,0.56716,0.02918,0.53657,0.53065,0.55172,0.53065,0.55172,0.53758,0.53758
GNCMA,1.27688,0.25900,0.32565,0.45765,0.59317,0.36632,0.47361,0.46595,0.62834,0.46595,0.62834,0.39986,0.48488
GOOG,0.04720,0.47972,0.50773,0.48979,0.51698,0.18910,0.50867,0.38763,0.61497,0.38763,0.61497,0.11504,0.54696
HEAR,0.54771,0.03971,0.04130,0.44020,0.55920,0.45104,0.51838,0.46126,0.55555,0.46126,0.55555,0.28753,0.52118
IBKR,0.55094,0.38835,0.41567,0.49871,0.51176,0.35214,0.50923,0.50852,0.55123,0.50852,0.55123,0.12196,0.54331
INTC,0.01199,0.40080,0.36890,0.56056,0.49735,0.42039,0.49986,0.51412,0.50629,0.51412,0.50629,0.24201,0.50658
ISSC,0.57135,0.04024,0.05199,0.42868,0.55884,0.04338,0.46317,0.44087,0.55279,0.44087,0.55279,0.46889,0.46889
KE,1.22856,0.12196,0.14638,0.41705,0.57374,0.23307,0.43683,0.42507,0.58382,0.42507,0.58382,0.42625,0.44592
LE,1.15194,0.25703,0.36709,0.44424,0.58540,0.40986,0.53747,0.43105,0.61268,0.43105,0.61268,0.35733,0.55153
MSFT,0.01004,0.42542,0.41092,0.51446,0.48766,0.35649,0.49636,0.51055,0.48886,0.51055,0.48886,0.23381,0.49569
NK,1.10354,0.24985,0.30636,0.45498,0.55713,0.37458,0.48639,0.43800,0.57903,0.43800,0.57903,0.40373,0.48040
NLST,1.10604,0.04473,0.05445,0.47119,0.56880,0.04766,0.50081,0.46527,0.54626,0.46527,0.54626,0.49099,0.49099
OHGI,0.63804,0.02734,0.05212,0.40857,0.57237,0.03951,0.50152,0.43265,0.55897,0.43265,0.55897,0.50139,0.50139
ON,0.38217,0.19445,0.25175,0.47106,0.49400,0.52165,0.48619,0.49682,0.50346,0.49682,0.50346,0.30453,0.50141
OPTT,1.20182,0.15438,0.26266,0.41371,0.58974,0.15776,0.42022,0.41980,0.54156,0.41980,0.54156,0.42437,0.42437
QCOM,0.03261,0.44015,0.41748,0.51184,0.49684,0.34296,0.50524,0.50259,0.49061,0.50259,0.49061,0.21083,0.49741
SNDK,0.02347,0.29333,0.29616,0.43781,0.50000,0.43446,0.46630,0.46491,0.48192,0.46491,0.48192,0.21678,0.47208
SODA,1.49775,0.28908,0.42141,0.44858,0.53779,0.34813,0.44944,0.43960,0.59999,0.43960,0.59999,0.37318,0.44121
SP,-0.54757,0.17628,0.31992,0.37414,0.63615,0.36654,0.56598,0.38491,0.64158,0.38491,0.64158,0.52772,0.57271
STX,0.10704,0.41163,0.39290,0.51181,0.48065,0.36863,0.48483,0.50889,0.49337,0.50889,0.49337,0.24598,0.49533
TECH,0.27147,0.27950,0.49242,0.39134,0.65658,0.40128,0.48655,0.37061,0.69990,0.37061,0.69990,0.32800,0.49319
TXN,0.00356,0.44745,0.41491,0.51160,0.48374,0.33678,0.49420,0.49355,0.49112,0.49355,0.49112,0.23778,0.49207
VA,0.08042,0.16004,0.17344,0.50010,0.54835,0.29706,0.52243,0.51408,0.56044,0.51408,0.56044,0.46335,0.53593
VOD,0.24545,0.34018,0.34888,0.51147,0.49144,0.42386,0.49471,0.52399,0.50592,0.52399,0.50592,0.29789,0.50884
YHOO,-0.02659,0.39811,0.37963,0.50056,0.49880,0.38895,0.49994,0.49029,0.50117,0.49029,0.50117,0.29277,0.49389
Z,0.68437,0.40977,0.47843,0.49903,0.55817,0.36126,0.50057,0.47560,0.54019,0.47560,0.54019,0.24136,0.47719
